Source,Austin,Baltimore,Charlotte,Chicago,Dallas,Detroit,El Paso,Fort Worth,Houston,Indianapolis,Jacksonville,Las Vegas,Los Angeles,Memphis,Milwaukee,Nashville,Oklahoma City,Philadelphia,Phoenix,Portland,San Antonio,San Diego,San Francisco,San Jose,Seattle,Washington
accuweather,48,30,34,24,40,30,43,38,47,23,47,43,50,31,25,37,28,32,55,45,49,56,44,44,43,33
aol,46,34,35,26,41,31,43,39,48,25,50,42,49,32,23,38,30,33,55,45,50,56,48,44,43,34
climaton,48,34,36,25,41,30,43,37,48,23,48,43,50,30,25,37,28,30,55,28,50,55,45,45,43,34
cnn,48,28,34,24,40,30,43,38,49,23,46,43,50,31,25,37,28,31,55,43,50,56,44,44,43,33
findlocalweather,46,34,34,25,41,30,43,37,48,23,48,43,50,30,25,37,28,32,55,45,52,55,45,45,43,34
foxnews,47,32,34,23,40,28,43,38,50,24,47,38,50,28,25,35,28,30,55,45,52,56,48,45,46,34
herald,46,30,34,24,41,30,43,38,49,23,48,43,50,31,25,37,29,31,55,45,50,56,44,44,43,34
msn,46,30,34,25,41,30,43,37,48,23,46,43,50,30,25,37,30,32,55,45,50,55,45,45,43,34
nytimes,46,30,34,24,41,30,43,40,49,25,47,43,43,31,21,37,28,31,58,45,50,54,46,43,45,33
unisys,47,34,34,24,41,30,43,38,47,23,48,42,50,31,25,37,29,31,58,43,50,56,44,44,43,33
uswx,46,30,34,24,41,30,43,38,49,23,48,42,49,31,27,37,30,34,55,45,50,56,44,44,43,34
washingtonpost,48,30,34,24,40,30,43,38,47,23,47,43,50,31,25,37,28,32,55,45,49,56,44,44,43,33
weatherbug,48,32,35,24,42,27,43,40,45,25,48,37,48,30,23,40,29,33,52,43,45,56,50,44,43,32
weatherforyou,47,30,36,25,38,30,43,37,47,24,47,38,50,30,25,37,35,32,53,44,50,55,45,43,43,34
wunderground,47,34,34,26,41,31,45,39,48,25,49,41,49,34,25,38,28,32,50,41,49,51,47,46,41,34
yahoo,46,32,36,24,41,30,43,38,48,23,48,39,50,31,25,37,28,32,55,45,52,53,44,44,43,33
